country,year,yield_tons_ha,avg_temp,total_rainfall,avg_humidity,avg_solar,country_encoded
Egypt,2018,6.2942,22.764712328767125,4.36,38.16945205479452,22.999068493150684,6
Egypt,2019,6.5003,22.164328767123287,6.91,36.46095890410959,23.24821917808219,6
Egypt,2020,6.3663,22.022814207650274,8.01,40.918306010928966,23.279808743169397,6
Egypt,2021,6.8505,22.393479452054795,5.21,38.38487671232877,23.481698630136986,6
Egypt,2022,6.6989,21.65254794520548,3.1399999999999997,40.267397260273974,23.160739726027398,6
Egypt,2023,6.7768999999999995,22.75619178082192,11.78,39.39219178082192,22.76213698630137,6
Ethiopia,2000,1.1630999999999998,22.27382513661202,422.82,48.795928961748636,23.346693989071035,7
Ethiopia,2001,1.3259,22.442520547945204,471.78000000000003,51.446958904109586,22.821424657534244,7
Ethiopia,2002,1.4354,22.81468493150685,478.39,50.836109589041094,22.92978082191781,7
Ethiopia,2003,1.3874000000000002,22.341835616438356,643.1,53.035698630136984,23.16172602739726,7
Ethiopia,2004,1.4690999999999999,22.366994535519126,574.58,52.00224043715847,22.795737704918032,7
Ethiopia,2005,1.5567,22.09013698630137,621.49,52.635506849315064,22.92882191780822,7
Ethiopia,2006,1.5204000000000002,21.73482191780822,860.73,59.06213698630137,22.382164383561644,7
Ethiopia,2007,1.6710999999999998,21.59586301369863,866.8,56.454986301369864,22.802191780821914,7
Ethiopia,2008,1.6245,21.228224043715848,954.04,54.194043715846995,23.260136612021856,7
Ethiopia,2009,1.8269000000000002,22.110438356164384,815.4,55.2366301369863,22.870684931506847,7
Ethiopia,2010,1.8209000000000002,20.990657534246576,1372.79,62.545041095890404,22.182602739726025,7
Ethiopia,2011,1.8225,22.18071232876712,541.36,51.29567123287671,22.889479452054793,7
Ethiopia,2012,2.1102,21.867622950819673,780.94,53.965027322404374,23.315901639344265,7
Ethiopia,2013,2.4446,21.17964383561644,1187.83,61.778000000000006,22.60172602739726,7
Ethiopia,2014,2.5433000000000003,21.54750684931507,902.39,59.369945205479446,22.73432876712329,7
Ethiopia,2015,2.7941,22.405561643835615,621.07,52.809205479452054,23.324301369863015,7
Ethiopia,2016,2.4971,21.538387978142076,1078.45,59.90530054644809,22.735792349726776,7
Ethiopia,2017,2.6681,21.521287671232876,955.68,55.976493150684924,23.166273972602742,7
Ethiopia,2018,2.7088,21.099890410958903,1014.7,60.76975342465753,22.60186301369863,7
Ethiopia,2019,2.8216,21.69158904109589,1195.95,61.130054794520554,22.671232876712327,7
Ethiopia,2020,2.9036,21.24273224043716,1241.58,63.33450819672131,22.469617486338795,7
Ethiopia,2021,2.9223000000000003,21.205698630136986,1163.28,58.73076712328767,23.023698630136984,7
Ethiopia,2022,2.9791,22.023232876712328,670.92,55.96643835616438,22.778630136986305,7
Ethiopia,2023,2.8134,21.02950684931507,1706.15,67.15627397260275,22.75186301369863,7
France,2000,7.1175,9.675491803278689,852.95,82.60691256830602,12.385,8
France,2001,6.616899999999999,9.06427397260274,787.52,82.91054794520548,12.033780821917809,8
France,2002,7.4455,9.924164383561644,718.95,79.72909589041096,12.037260273972604,8
France,2003,6.25,10.41249315068493,634.08,75.99682191780822,13.357589041095892,8
France,2004,7.5788,8.981338797814209,862.23,83.30292349726776,12.544699453551912,8
France,2005,6.9887,8.992876712328767,787.39,81.40413698630137,12.725945205479453,8
France,2006,6.7414,9.739287671232876,978.41,83.986,12.581698630136986,8
France,2007,6.2542,9.201671232876713,868.38,85.42575342465754,12.256986301369864,8
France,2008,7.1018,8.850245901639344,976.92,84.45284153005466,12.349480874316939,8
France,2009,7.4478,9.508219178082191,733.83,81.05008219178082,13.017013698630137,8
France,2010,7.0405,8.194904109589041,890.15,82.70243835616438,12.384602739726027,8
France,2011,6.6563,10.500986301369863,692.25,79.2718904109589,13.24358904109589,8
France,2012,7.1512,9.413360655737705,769.05,81.64254098360655,12.652732240437157,8
France,2013,7.2656,8.731123287671233,847.05,84.13698630136986,12.004547945205479,8
France,2014,7.353,10.306602739726028,848.46,82.10893150684932,12.841808219178082,8
France,2015,7.800800000000001,10.449917808219178,649.08,79.40509589041096,13.223972602739726,8
France,2016,5.2896,9.761475409836065,882.48,81.87696721311475,12.324535519125682,8
France,2017,7.2538,9.884794520547945,791.95,80.98928767123287,12.988849315068494,8
France,2018,6.768,10.695123287671233,778.53,80.36298630136987,13.22531506849315,8
France,2019,7.7428,10.704,741.14,75.39046575342466,13.341643835616438,8
France,2020,6.6776,10.880136612021857,761.03,79.71877049180328,13.40775956284153,8
France,2021,6.9284,9.450547945205479,816.51,82.75123287671234,12.628082191780821,8
France,2022,6.9967,11.564520547945206,629.1899999999999,75.61967123287671,13.816054794520547,8
France,2023,7.2016,11.427945205479451,796.57,77.75545205479453,13.087150684931508,8
Germany,2000,7.2826,8.904153005464481,652.25,82.02210382513661,9.889016393442624,9
Germany,2001,7.8827,8.060219178082193,756.38,83.25534246575343,9.843698630136986,9
Germany,2002,6.905600000000001,8.293808219178082,885.28,84.04476712328767,9.384520547945206,9
Germany,2003,6.4985,8.365643835616439,526.17,79.06139726027398,11.063917808219179,9
Germany,2004,8.1716,7.872841530054645,733.36,82.32513661202186,10.122349726775957,9
Germany,2005,7.4651000000000005,8.268520547945206,648.84,81.54043835616437,10.531616438356163,9
Germany,2006,7.200699999999999,8.665342465753424,654.35,81.91312328767124,10.609287671232876,9
Germany,2007,6.9611,8.904246575342466,962.81,84.04890410958903,10.41441095890411,9
Germany,2008,8.0873,8.524836065573771,689.79,83.08945355191257,10.39724043715847,9
Germany,2009,7.8091,8.175808219178082,815.34,83.33838356164384,10.431835616438356,9
Germany,2010,7.212,6.4301369863013695,825.81,84.88931506849315,10.382219178082192,9
Germany,2011,7.0139,8.686958904109588,620.52,81.45101369863013,11.029095890410959,9
Germany,2012,7.3312,8.154808743169399,730.03,82.10693989071038,10.45207650273224,9
Germany,2013,7.9979,7.487205479452054,732.24,84.50413698630136,10.070493150684932,9
Germany,2014,8.6296,9.452767123287671,718.41,83.18457534246575,10.399342465753424,9
Germany,2015,8.0877,9.074821917808219,615.5600000000001,80.38260273972602,10.97545205479452,9
Germany,2016,7.640899999999999,8.712158469945356,665.82,82.73683060109289,10.572978142076503,9
Germany,2017,7.6443,8.523945205479452,865.7,84.30027397260274,10.256493150684932,9
Germany,2018,6.6737,9.847452054794521,560.66,78.63747945205479,11.484794520547945,9
Germany,2019,7.3964,9.587123287671233,696.1800000000001,80.06843835616438,11.08813698630137,9
Germany,2020,7.8195,9.616530054644809,603.39,79.3781693989071,11.116803278688524,9
Germany,2021,7.3015,8.048739726027398,756.63,85.11528767123288,10.278383561643835,9
Germany,2022,7.5773,10.00586301369863,544.6899999999999,78.04594520547946,11.534547945205478,9
Germany,2023,7.4318,9.975095890410959,855.39,81.95857534246575,10.73454794520548,9
India,2000,2.7785,27.078934426229505,766.66,47.27248633879781,20.06896174863388,10
India,2001,2.7081,26.996328767123288,974.62,53.7672602739726,18.953123287671232,10
India,2002,2.7620999999999998,27.681616438356166,909.58,49.559863013698624,19.371068493150684,10
India,2003,2.61,27.19090410958904,1118.08,56.3698904109589,19.126328767123287,10
India,2004,2.7131999999999996,27.24193989071038,724.99,53.307377049180324,19.792595628415302,10
India,2005,2.6016,26.809041095890407,1153.16,56.014986301369866,19.05202739726027,10
India,2006,2.6188000000000002,26.878191780821922,1328.48,58.75065753424658,19.02509589041096,10
India,2007,2.7079,27.12934246575342,943.35,54.1841095890411,19.385917808219176,10
India,2008,2.8022,26.86658469945355,889.28,53.98079234972678,18.921284153005463,10
India,2009,2.9071,27.86021917808219,931.6899999999999,51.97306849315068,19.430383561643836,10
India,2010,2.8395,27.631808219178083,1341.49,57.00769863013699,18.672767123287674,10
India,2011,2.9886,26.724986301369864,905.56,56.61671232876712,19.104575342465754,10
India,2012,3.1775,27.04502732240437,1080.9,53.884945355191256,18.749426229508195,10
India,2013,3.1538000000000004,26.708082191780825,1426.35,60.05112328767123,17.757369863013697,10
India,2014,3.1456999999999997,27.268465753424657,858.25,55.20583561643836,18.72446575342466,10
India,2015,2.7496,27.11356164383562,1171.34,56.525342465753425,18.939424657534246,10
India,2016,3.0339,27.239180327868855,1176.91,54.92401639344262,18.93827868852459,10
India,2017,3.1999,27.398438356164384,884.2,52.552767123287666,19.04509589041096,10
India,2018,3.3682,27.25380821917808,950.09,51.36158904109589,18.181698630136985,10
India,2019,3.5334,27.252986301369862,1072.58,56.112273972602736,18.0933698630137,10
India,2020,3.4398,26.16188524590164,1155.63,64.27565573770492,18.066748633879783,10
India,2021,3.5208000000000004,26.63830136986301,1208.9,60.322767123287676,17.44208219178082,10
India,2022,3.5373,26.638575342465753,1580.24,61.15238356164383,17.884438356164384,10
India,2023,3.5206999999999997,26.6493698630137,1237.27,59.76843835616438,17.8533698630137,10
Iran (Islamic Republic of),2000,1.5856,18.828688524590163,47.65,26.861092896174863,20.928032786885247,11
Iran (Islamic Republic of),2001,1.7033,19.603342465753425,41.92,27.54972602739726,20.909835616438357,11
Iran (Islamic Republic of),2002,1.995,19.285561643835614,59.77,28.465287671232876,20.8233698630137,11
Iran (Islamic Republic of),2003,2.0969,18.90704109589041,126.74,31.07276712328767,20.448082191780824,11
Iran (Islamic Republic of),2004,2.2056,18.938907103825137,74.39,30.42827868852459,20.596857923497268,11
Iran (Islamic Republic of),2005,2.0585,18.99454794520548,21.52,28.64654794520548,21.008356164383564,11
Iran (Islamic Republic of),2006,2.1317,18.766109589041097,64.29,30.169616438356165,20.885315068493153,11
Iran (Islamic Republic of),2007,2.1997,18.243835616438357,56.79,29.947041095890413,20.50430136986301,11
Iran (Islamic Republic of),2008,1.3343,18.47051912568306,38.88,29.423333333333336,20.593142076502733,11
Iran (Islamic Republic of),2009,1.8192000000000002,18.68512328767123,73.67,31.037589041095888,19.875424657534246,11
Iran (Islamic Republic of),2010,1.8337,19.88928767123288,55.44,26.36679452054794,20.5453698630137,11
Iran (Islamic Republic of),2011,1.3608,18.873397260273972,53.57,31.0927397260274,20.42660273972603,11
Iran (Islamic Republic of),2012,1.3482,18.21830601092896,76.72,31.060382513661203,20.60289617486339,11
Iran (Islamic Republic of),2013,1.4538,18.783424657534248,71.14999999999999,30.811561643835613,20.69178082191781,11
Iran (Islamic Republic of),2014,1.7452999999999999,18.595123287671235,72.08,31.63564383561644,20.512027397260276,11
Iran (Islamic Republic of),2015,2.0159000000000002,19.404383561643836,62.97,30.02082191780822,20.5058904109589,11
Iran (Islamic Republic of),2016,2.4612,19.607677595628417,34.43,27.43620218579235,21.055901639344263,11
Iran (Islamic Republic of),2017,2.2803,19.645205479452056,42.04,26.87065753424658,21.07695890410959,11
Iran (Islamic Republic of),2018,2.4628,19.724739726027398,66.1,30.237589041095887,20.19117808219178,11
Iran (Islamic Republic of),2019,2.3387,19.19186301369863,124.42999999999999,33.02972602739726,20.239287671232876,11
Iran (Islamic Republic of),2020,2.255,18.522158469945353,102.57000000000001,33.50636612021858,20.354180327868853,11
Iran (Islamic Republic of),2021,2.2632,19.944328767123288,61.35,27.295616438356163,20.756821917808217,11
Iran (Islamic Republic of),2022,2.4295999999999998,19.806520547945205,55.32,27.84868493150685,20.41284931506849,11
Iran (Islamic Republic of),2023,2.5289,19.914876712328766,68.52,31.2367397260274,19.81290410958904,11
Mexico,2000,4.9355,17.591830601092894,385.7,46.357295081967216,21.658879781420765,12
Mexico,2001,4.766100000000001,17.511424657534246,284.75,48.29605479452055,21.687945205479455,12
Mexico,2002,5.0999,17.19917808219178,603.35,52.597041095890404,21.647068493150687,12
Mexico,2003,4.4912,17.318356164383562,471.08,52.23783561643836,21.03627397260274,12
Mexico,2004,4.487100000000001,16.552513661202187,598.93,56.72494535519126,21.187841530054644,12
Mexico,2005,4.7517,17.414027397260273,320.04,48.7617808219178,22.027643835616438,12
Mexico,2006,5.227399999999999,17.328,538.45,50.79180821917808,21.779671232876712,12
